name,alternate_name,alternate_name_cite,petrographic_details,petrographic_details_cite,age,age_cite,appearance,appearance_cite,poisson_ratio_low,poisson_ratio_low_citation,poisson_ratio_high,poisson_ratio_high_citation,absorption,absorption_cite,quarry_location,quarry_location_cite,archaeological_sources,archaeological_sources_cite,primary_sources,primary_sources_cite,secondary_sources,secondary_sources_cite,shapefile,shapefile_cite,notes,notes_cite,beginning_date,beginning_date_cite,ending_date,ending_date_cite,dates_of_use,dates_of_use_cite,density_avg,density_avg_cite,density_low,density_low_cite,density_high,density_high_cite,elastic_modulus_average,elastic_modulus_average_cite,elastic_modulus_low,elastic_modulus_low_cite,elastic_modulus_high,elastic_modulus_high_cite,image,image_cite,rupture_modulus_average,rupture_modulus_average_cite,rupture_modulus_low,rupture_modulus_low_cite,rupture_modulus_high,rupture_modulus_high_cite,compressive_strength_average,compressive_strength_average_cite,compressive_strength_low,compressive_strength_low_cite,compressive_strength_high,compressive_strength_high_cite
Breccia corallina,marmor sagarium,21,breccia calcarea,21,,,"red/orange/white; The coraline breccia (the Corsican says) takes its name from the coral, because the cement is generally bright red: the brecciato, or fragments are white and yellowish ",21; 167,,,,,,,"Asia Minor, Verzirhan, Bilecik; also quarried at Toprak Alinmis, Balıklıova, Karga Tepe, and Azmak Tepe, on the Karaburum Peninsula, modern Turkey",21; 14,"Columns: Atrium Vestae, S. Prisca, S. Lorenzo fuori le Mura, S. Croce in Gerusalemme, S. Sebastiano, Chiesa del Gesù, S. Maria in Aracoeli, Palazzo Rospigliosi. Paving stones: X. Paolo fuori le Mura, S. Pietro in Vaticano, S. Clemente. Wall stones: Atrium Vestae, Confessional in S. Giovanni in Laterano. Vases, Cups. ",21,in buildings of Dioclezianea and Constantiniana Gnoli found examples of a 'corallina breccia' from the bottom of an almost brick red and fragments of a dirty white and some bigiastro,167,"by 1st century BC, breccia corallina from North-west Turkey was being used in imperial building program in Rome; The rosy marble chosen to decorate the upper order of the Vestali atrium is known in Rome as 'breccia coralina'.",119; 167,,,"This kind of 'coral breccia,' the most classic and familiar to all Romans, is not represented in Herculaneum and Pompeii and was probably introduced on the market in later times.",167,1st century BCE,14,,,Regionally exported from Verzirhan starting in the late 1st century BCE ,14,2291,309,1540,309,3000,309,,,,,,,image in folder,159,,,,,,,,,,,,
breccia di Aleppo,,,limestone conglomerate,14,,,"gray/brown; mixture of small pieces of gray, reddish brown or nichel where the yellow dominates",14; 168,0.2,295,0.3,295,,,"Quarried at Karies, just inland from Latomi, Chios, Greece, and exported widely",14,present in the Maesa of Philip King of Spain and in Florence in the table of the Knight Lorenzo Sirigatti,168,,,"The 'breccia d'Aleppo' is not represented in the great Roman imperial buildings and the quarries of it must have been private. Slabs and fragments of small or half-columns of this marble- which is of a brick-red background, full of angular fragments of a grayish gray often marked by small marine bodies, and others more sparse than a beautiful bright yellow- not they are rare in the ancient houses and villas of Rome and its surroundings.",168,,,"Slabs of 'breccia d'Aleppo' still in situ can be seen in some floors and bottoms of Pompeii. The 'breccia d'Aleppo,' as far as Gnoli has had the opportunity to see, is rare and practically disappears from the common use after the age Flavia. The most notable piece of this marble in Rome is a column in the Candelabra Gallery, on the left as you enter.",168,,,,,Imperial Period,14,,,,,,,,,,,,,image in folder,159,,,,,,,,,,,,
Breccia di Sciro,"semesanto, marmor scyreticum, breccia di Settebasi o Settebassi, breccia orientale.",17,Metabreccia,17,,,Brown/Pink/Purple/White,17,,,,,0.14,12,"Greece, Aegean Sea, Island of Skyros; quarried at Cape Oros, Cape Marmoro, Haghios Panteleimonas, Koprisses, Koulori, Renes, Tres Boukes, Skipoula island, south of Skyros, at Cape Kolona, Valaxa island, south of Skyros, at Cape Latomio,  similar variety of breccia found in Turkey, 8 km east of Teos, at Beyler (local use, possibly exported) ",17; 14,"Wall stones: S. Paolo fuori le Mura, Gregorian chapel in the Basilica of S. Maria Maggiore, S. Maria degli Angeli, S. Lorenzo in Mirando, S. Pietro in Vinvoli, Chiesa del Gesù, S. Maria Maddalena in Campo Marzio (semesanto). Columns: Synagogue, S. Luigi de' Francesi, S. Clemente. Paving Stones, Cornices.",17,"Strabo compares Scyrian marble to cipollino dell'Eubea and pavonazetto and claims that Rome was ""adorned both at public and private expense"" with ""monolithic columns and great slabs"" of the breccia",92,"By the 1st century AD, Scyrian marble from Chalcis was being used in Roman imperial building programs; Several columns of 'breccia si Sette gatteggiante bases' can be seen at Leptis Magna and at Side.",119; 169,,,"used mainly by the Romans for tiles; Used, mostly in small pieces, where the small-stained varieties were apparently very popular and then later for columns ",202; 267,used in Rome and the provinces since the 1st century BC,267,,,"Exported widely from Tres Boukes and Renes during the Imperial Period, and inter-regionally elsewhere throughout Roman times",14,2710,12,1540,309,3000,309,,,,,,,image in folder,159,,,23,12,25,12,,,110,12,115,12
breccia di Seravezza,"breccia medicea, mischio; breccia di Serravezza antica; breccia violetta marble","13, 14, 12",metabreccia; a clastic sedimentary stone,13; 171,,,yellow/purple/blue/orange,13,,,,,0.1,12,"Italy, Tuscany, Monte Corchia, Stazzema, Lucca.; exported regionally",13; 14,"Paving and wall stones, St. Peter's colonette, Italy",13,Carducci mentions the possiblity of using breccia di Serravezza in his monument,170,"Gnoli found in Rome some sporadic slabs of breccia Serravezza and a fragment of a small column of cm. 30 approx. in diameter, but he mentions it was rarely used in the past and now used in bulk",170,,,"This marble was chosen for coatings and decorations in Tuscany, in the 16th century by the Medici family, from which it takes its name.",171,,,,,was not used frequently in ancient times,170,2700,12,1540,309,3000,309,,,,,,,Image in folder,112,13.4,12,,,,,,,98,12,115,12
breccia dorata,marmi breccia dorata,12,Breccia marble,14,,,golden yellow,14,0.2,295,0.3,295,,,"Quarried at Molli, Tegoia, and Montarrenti, near Sienna, Italy; local use, possibly exported",14,"used in the Houses of Love and Psyche, in tiles and medium-sized columns, Rome",173,Gnoli says he only sees this stone used in Rome and Ostia,173,considered a rare stone; used for columns and incrustations,173; 270,,,"this breccia contains several large, wavelike shades of orange and is sometimes oliy in appearance, thus it is called oily golden breccia",173,used in Rome in the Late Antiquity,270,,,Imperial Period,14,2291,309,1540,309,3000,309,,,,,,,image in folder,172,,,,,,,,,,,,
breccia nuvolata,yellow clouded breccia',174,breccia ,14,,,Yellow,14,,,,,0.45,12,"Quarried at Harmanköy, south of Gölpazari, modern Turkey, ""exported regionally and inter-regionally in the Roman period""",14,"it is abundantly represented in slabs of coating, Carthage, these stones also make up some fragmentary columns",174,"Belli describes it as 'fragments of a light yellow with many curved and parallel areas of a deep yellow, without the cement appearing'",174,"fragments of a column made of this stone were found in Carthage and one in Rome, about 40 cm. in diameter.",174,,,few to no slabs of covering and tiles have recently come to light during the excavations of a villa of age Massenziana or Constantinana adjacent to the Circus of Maxentius,174,later imperial period,269,,,,,2673,12,1540,309,3000,309,,,,,,,image in folder,159,,,,,,,,,188,12,193,12
breccia quintilina,Breccia di Tivoli,172,"breccia marble; La Breccia quintilina is a clastic sedimentary rock. The clasti, poorly classified (heterometric), are made up of basic metamorphic rocks (serpentinites). Cement is predominantly carbonatic.",14; 172,,,"Dark brown…with shades of black and swirling white veins; relative variability in the appearance of the constituents. The bottom is made up of areas that are whitish, greyish or violet in color. It contains stains (clasts) whose color varies from yellow to brown to black: often these shades coexist in the same spot. ",14; 172,0.2,295,0.3,295,,,"Quarried at Levanto, southern Liguria, Italy; local and regional use",14,,,,,"La Breccia quintilina is a very rare lithotype. Therefore, the only known uses of this lithotype consist in coatings (parietal plates). In the sixteenth and seventeenth centuries, the breccia quintilina was reused by inlays.",172,,,often joined to semesanto,168,,,,,Imperial Period,14,2291,309,1540,309,3000,309,,,,,,,Image in folder,172,,,,,,,,,,,,
breccia rossa appenninica,,,marble,14,,,Pink-brown/pink-red,14,0.2,295,0.3,295,,,"Quarried at Pegazzano-Biassa near La Spezia, Liguria, Italy, and exported in small amounts to Rome",14,,,,,it comes from different fractions at lasos in Caria,265,,,it was popular in Byzantium.,265,"Used in Rome since the 2nd century, more commonly in late antiquity",265,,,Imperial Period,14,2510,309,2716,309,3140,309,,,,,,,image in folder,172,,,,,,,,,,,,
Breccia verde d'Egitto,"breccia verde antica (""ancient green breccia""), breccia verde dure (""hard green breccia""), breccia universale (""universal breccia"") and centopietre (""100 stones""), lapis hexecontalithos (""stone of 60 stones), lapis hecatontalithos (""stone of 100 stones""); breccia Fawakhir, breccia Egiziana","16, 12",Metaconglomerate Puddingoide,24,,,"green/grey/red; sandy with rounded pebbles; ""hints of black and brown"" ",24; 16; 12,,,,,1.5,12,Eastern Egyptian desert/ Mons Basanites/ Uadi Hammamat; near the modern cities of Qena and Luxor,24; 14,"Columns: Antiquarium of the Forum, S. Maria in Aracoeli, Magistral room in the Palazzo dei Conservatori. Floors: Baptistry of S. Paolo fuori le Mura, Vases, Basins",24,,,"The only stone in front of which the frigid muse of Constantino is the breccia d'Egitto, represented in the SS. Apostles from two columns probably placed to the side of the door for which access was made to the mausoleum or shrine of Constantino.",176,,,"The term and concept of hecatontalithos was reserved primarily to the 'green breccia of Egypt' and then to other conglomerates;  contains many fragments of porphyries, granites, basalts and quartzes of different colors enveloped by a compact feldspar",175; 177,predynastic period,172,17th century,172,"""Exported in Roman Imperial Period but very rare"";The lithotype was used already by the Egyptians starting from the predynastic period for different uses. Under the Romans, this ornamental stone spread prevalently in the central and eastern Mediterranean. Its reuse is documented at least until the seventeenth century (mainly for columns and slabs of covering). The known uses and re-uses of the lithotype are numerous: supporting elements (columns), claddings (parietal and paving slabs), ornamental elements (basins), artefacts (vases) and rarely statuesque.",14; 172,2600,12,,,,,,,,,,,image in folder,172,,,10,12,15,12,,,85,12,100,12
breccia verde di Sparta,,,Marble,14,,,"Dark green, with gray/green granitic/porphyritic pieces",14,0.2,295,0.3,295,,,"Quarried at Sparta, central Lakonia, Greece ",14,"The uses and re-uses of this lithotype are few, they are claddings (parietal slabs)",172,,,"Sparta's green breccia is a clastic sedimentary rock. The angularity of the clasts of which it is made, testifies that the original rock has been reworked in a subaerialenvironment for a rather short time (breccia).The clasts, of a very varied (polygenic) nature, consist mainly of effusive igneous rocks (porphyries) and intrusive igneous rocks (granites).",172,,,"Ornamental stone characterized by a green-violet background. It contains spots (clasts) of green color, and less frequently white-greyish, red-violet or brown, having an angular shape and centimetric dimensions.The denomination of the lithotype refers to the provenance.",172,late antiquity ,14,Byzantine era,172,"Probably used in Roman Imperial period but rare before Late Antiquity when exported inter regionally; Sparta's green breccia is a rather rare lithotype. Its use is documented until the Byzantine era.
",14; 172,2510,309,2716,309,3140,309,,,,,,,image in folder,172,,,,,,,,,,,,
Spanish broccatello,"broccatello di Spagna, jaspi de la Cinta, lumachella, broccatello; Brocatello Viola,Sherry Brocatello,Jaspi de Tortosa,Castellon Sherry, Sherry Gold, Golden Shell, Castellon Brocatello,Tortosa Sherry","19, 12",calcare organogeno,19,,,red/orange/yellow/white,19,,,,,1.5,12,"Spain, Catalonia, Tortosa.; quarried at Barranc de La Llet and ""exported as far as Rome in the Roman Imperial period"" ",19;14,"Wall stones: S. Paolo fuori le Mura, apse of S. Giovanni in Laterano, S. Clemente, S. Maria Maddalena in Campo Marzio, S. Gregorio Magno. Paving stones: villa dei Gordiani, S. Paolo fuori le Mura, Mirrors: cappella paolina a S. Maria Maggiore; cornices: S. Pietro in Vincoli, columns, S. Spirito a via Giulia, S. Maria Maggiore, SS. Cosma e Damiano. Balustrades: S. Peter's, sarcophagi.",19,mentioned in the verses of Roman de Garin ,194,"made up of fragmented and barely recognizable shells. The shell parts are generally of a very varied yellow in the shades of the colors, but always lively, and could be said to be golden, so that the stonemasons have given it the name of brocatello, as resembling an ancient cloth woven in gold and called brocade",194,,,"The export of brocatello was limited to Rome. Outside Italy, this marble exists only in the Utica Museum.",194,used since the 2nd century for small columns and decorations,264,The fractures are near Tortosa in Catalonia and have been reopened since the 18th century,264,Used from the age of the Severan Dynasty,194,2600,12,,,,,,,,,,,image in folder,193,6.4,12,,,,,89,12,,,,
brocatellone,,,breccia,14,,,pink and white,14,,,,,,,"Turkey: Çakmakli, 24 km NE of Manisa, and Gerence, Karaburum peninsula; probably exported",14,"a column in the Schola del Traiano, Ostia, beautiful columns of 'broccatellone' can be seen, outside of Italy, in the castle of S. Luigi a Sidone.",162,,,The colours of broccatello and broccatellone are very similar but broccatellone lacks the abundant shell fragments evident in Spanish broccatello.	,112,,,"The only difference between the 'broccatellone' and 'corallina' lies in the fact that in it, more or less dark, and interspersed, it makes frequent spots of a sulfur-yellow color.",162,,,,,,,2291,309,1540,309,3000,309,,,,,,,image in folder,159,,,,,,,,,,,,
selce di Roma,"lava, basalts, selce romana, silex durus; Capo di Bove Lava","22, 10",volcanic rock,,"Capo di bove 280,000 years old;or, 277,000 +/- 2,000 years old","9,10","dark gray, compact, occasional gas holes, fine grain with few visible crystals ",22,,,,,,,"Volcanic district of the Colli Albani, Capo di Bove- the most important ancient source, quarry along the Appia Antica, quarries along the Via Laurentina (more modern), Pantano, Lago Regillo in the Castelli Romani near Tuscolo",22,"Pavement of streets, using bloth large and small blocks (basoli, quadrucci, sampietrini). Often used as aggregate in cement, often used to grind wheat because of its roughness and durability ",22,"Vitruvius (2.7.1) mentions ""siliceae"" as hard (""durae"") stones; Jackson interprets silex to mean specifically Rome's lava flows, although it can also be a general term for any hard stone",73; 50,,,,,"Low porousness, hard, resistant to chemical alteration",22,,,,,Used in every age,22,2362,309,1480,309,3090,309,,,,,,,image in folder,240,,,,,,,,,150,50,350,50
cipollino verde,"Eubean Onion-Marble; marmor carystium; marmor styrium; marmo euboico; cipollino dell'Eubea; cipollino (antique de) Greco, Styra Green, cipollino antico, Stouraitikon,Karystia lithos","17, 12",Cloritic marble. ,17,,,Green/white,17,0.2,295,0.3,295,0.1,12,"Greece, Southern Eubeoea, Karystia.; quarried at Aetos, Kylindroi, near Karystos, Mount Kionia and Oberes, near Marmari, Mount Pyrgari, near Nimborio, Myloi, Myrtia, Mount Vrethela, near Marmari, Styra, similar varieties in Spain and Portugal",17; 14,"Columns: Temple of Romulus, Temple of Antoninus and Faustina, Forum of Augustus, Portico of Agrippa, casa di Mamurra sul Celio, S. Paolo and S. Lorenzo fuori le Mura, S. Clemente, S. Lorenzo in Mirando, Cappella Salviati in S. Gregorio Magno, Immaculate Conception a Piazza di Spagna. Wall stones: S. Sabina, SS. Giovanni e Paolo. Paving stones: Basilica Aemilia, S. Paolo fuori le Mura, S. Maria Maddalena in Campo Marzio, SS. Giovanni e Paolo. Statuary, basins. ",17,"Pliny posits that the stone composed the columns of the house of Mamurra, ""the first person at Rome who covered the whole of the walls of his house with marble""; Strabo, Geography: 10.1.6",93; 94,"several columns of cipollino from Carystos now in the Colosseum appear to be at various preliminary stages of roughing out, showing that columns were transported in various states of completion; cipollino marble was extracted probably due to its remarkable resemblance to the marmor carystium universally known also as green cipollino one of the most popular and widespread stones in Roman epoch most of all for columns and cladding slabs, green cipollino is also known as cipollino verde",122; 129,,,"Mineralogical composition: Calcite:95%, Quartz:3%, Muscovite mica:0.2%, Chlorite:0.6%, Others:1%",12,,,,,"Local use from the Classical period (dates?), vast exportation during the Imperial Period",14,2721,12,,,,,,,,,,,image in folder,12,15.3,12,,,,,107,12,112.8,12,123.6,12
cipollino mandolato,"marbre campan; griottes; griottes mauves de Campan, cipollino mandolato verde; Marbre Amygdalarie, Payolle Campan,Campan Melange","19, 14, 12",calcare nodulare; nodular limestone also marble,19; 14,,,"green/yellow; Two varieties of marble at Campan quarry: griottes mauves de Campan was violet-pink, cipollino mandolato verde was green",19; 14,,,,,,,"France, Pirenei centrali, Espiadet-Campan.; quarried at Cabane de la Hosse and exported regionally in Roman times",19; 14,"Stones: S. Paolo fuori le Mura, S. Pietro in Vincoli, S. Gregorio Magno, Capella Torlonia in S. Giovanni in Laterano. crustae in Teatro di Marcello. Mirrors: Confessional in S. Maria Maggiore. Colonnette, Balustrades in Chiesa del Gesù, S. Giovanni in Laterano. Paving stones in Palazzo Rondinini, Mattonelle.",19,"According to Ravestein, a fine example of this marble is in Rome the balusters of the high altar of the Church of the Gesu which were obtained from a large block found in Tuscolo. ",180,present in the Imperial Palace of Ostia ,180,,,"The other varieties of marbre campan, the red one, the pink one and the isabelle variety are also represented in Rome, although to a much lesser extent than the green one, which was probably held in greater esteem than the others.",180,"used in Gaul since the 3rd century, but rarely in Rome",279,,,"These marbles abundantly used in the Gauls, especially from the III century onwards, were sometimes also exported to Rome. ",180,2650,12,,,,,,,,,,,image in folder,112,,,,,,,,,90,12,100,12
Cipollino rosso,"Red onion-stone, rosso brecciato, red brecciato; marmor carium o iassense, iassense brecciato, Africanone",23,Marble of hematite,23,,,Red/pink/white,23,0.2,295,0.3,295,0.3,304,"Asia minor, Abkuk, Kiyikislaçik (Milas- antica lasos); local, regional, inter-regional use, also quarried at Asin, in Karia, and used locally during the Imperial Period, exported between regions in small amounts",23; 14,"Floors: Pauline chapel, Confessional in Santa Maria Maggiore, S. Giovanni in Laterano. Columns: S. Luigi de' Francesi. crustae, pasamenti, steps, statues. ",23,Perhaps the white marble mentioned by Strabo as being quarried at Mylasa (Milas) and used to construct temples and other public buildings in the city ,95,"It was used extensively in Rome in the 4th and 5th centuries AD. Today it is called cipollino rosso and has also been known as africanone. This locality has also yielded a red and white breccia cipollino rosso brecciato (Corsi nos. 389, 903), and a monochrome marble rosso antico (not in Corsi's collection).	 ",112,,,"A fine to medium-grained folded banded calcite marble, some bands rich in red hematite, others are coloured by grey graphite. A weakly metamorphosed impure limestone.  ",112,used since late antiquity,266,,,"Imperial Period at Asin, no dates for Abkuk",14,2740,304,,,,,,,,,,,image in folder,112,,,,,,,1260,304,,,,
cottanello antico,"cotanella, cotanella moderna, rosso chiaro di Cottanello, cottanello sabino, pietra persichina",13,breccia tettonica,13,,,orange/brown/white/purple,13,,,,,,,"Italy, Lazio, Rieti Cottanello; exported regionally",13; 14,"Columns: S. Peter's, S. Maria degli Angeli, S. Agnese in Agone, S. Andrea al Quirinale, S. Maria Maddalena in Campo Marzio, S. Giovanni de' Fiorentini. Stones: cappella Ss. Sacramento in S. Paolo fuori le Mura, S. Maria Maddalena in Campo Marzio, S. Clemente, S. Gregorio Magno. Balustrades: S. Pietro in Vincoli. Funerary monuments: S. Maria Maggiore. Mattonelle, crustae.",13,,,"the lithotype was used for the internal colonnade of the Basilica of S. Pietro. The mining activity of this ornamental stone was extended until the second half of the twentieth century, to be subsequently abandoned.The known uses of the lithotype consist of supporting elements (columns), claddings (crustae and wall slabs, floor tiles and slabs) and ornamental elements (balustrades).",172,,,The denominations of the lithotype refer to the provenance: Cotanella; Cottanello Sabino (from the Sabina region). Other names also refer to the appearance of the rock: Cottanello rose; light red of Cottanello; veined red of Cottanello.,172,3rd century CE,14,,,"Imperial Period; The extraction of this ornamental stone was undertaken by the Romans in the third century. A.D. The lithotype diffusion was essentially limited to central Italy (northern and central Lazio), the greatest impulse to the production of Cottanello occurred in the Baroque period, mainly by the Fabbrica di S. Pietro",14; 172,2291,309,1540,309,3000,309,,,,,,,image in folder,172,,,,,,,,,,,,
Doddington Stone,Doddington Sandstone,12,Sandstone from the Fell Sandstone Group,20,Lower Carboniferous Period,20,"yellowish brown/pink, specked with light brown-gray to deep purple-pink; medium-grained, hard, cross-bedded ",20,,,,,5.2,12,"Quarried from around Doddington, Northumberland, in NE England",20,"Possibly used to build Hadrian's Wall, 120 CE ",20,,,part of an important megalithic circle in modern day United Kingdom,305,,,"Up to 97% quartz grains; the mineral haematite (iron oxide) is responsible for the ""gentle pink colour"" ",20,,,,,,,2200,12,1510,309,3000,309,,,,,,,image in folder,12,3.4,12,,,,,,,51.3,12,58.2,12
Egyptian Alabaster,"lapis alabastrites, lapis onyx, alabastro cotognino, alabastro venato, alabastro onice; alabastro orientale o Egiziano; Alabaster Gold, Alabastro Beni Suef, Asyut Alabastro","16, 23, 12",Alabastro calcareo; travertine,23; 16,,,"alternating bands of opaque white, fine-grained calcite and translucent, yellowish-brown, coarse-grained calcite, and occasionally massive amber-brown calcite [[2]]; Pliny claims the best variety is ""of a honey colour…covered with spots curling in whirls"" [[Natural History 36.12]]",16; 43,,,,,,12,"Eastern Desert of Egypt, mostly within 25 km of the Nile Valley, with Roman quarries at Wadi el-Garawi near Helwan city; Wadi Araba; el-Qawatir near el-Minya; and Hatnub, SE of el-Amarna ruins; similar stone quarried at /exported from Akhisar, in modern Turkey ",16; 14,"Columns: theatre of Balbo, S. Paolo fuori le Mura, S. Prassede. Floors: temple of Marte Ultore, S. Paolo fuori le Mura, S. Giovanni in Laterano, S. Maria Maggiore, S. Pietro in Vaticano, S. Clemente, Chiesa della Vittoria, S. Carlo ai Catinari. Urns, Vases ",23,"Pliny the Elder describes the stone ""alabastrites"", used for jars and plasters, found near Thebes, Egypt and Damascus, Syria; also mentioned in Natural History, 36.43",43; 89,"because of Egyptian travertine's easy bleaching by the sun, buildings/shrines were often placed in shaded areas",107,,,"The name ""alabaster"" is a misnomer named after alabastron jars; geologically, alabaster is a type of the rock gypsum",16,,,,,,,2730,12,,,,,,,,,,,image in folder,12,17,12,,,,,,,102.5,12,106.8,12
fior di pesco,"marmor chalcidium, marmor molossium, rosso di Eretria; Eretria Rose/Red","15, 12",Calcare cataclistico,15,,,Red/White/Pink/Purple,15,,,,,0.28,12,"Greece, Euboea, Eretria.; also at Lepoura, just east of Aliveri on Euboea",15; 14,"Wall stones: S. Paolo fuori le Mura, S. Giovanni in Laterano, S. Antonio dei Portoghesi, S. Pietro in Vincoli, SS. Giovanni e Paolo. Paving stones: S. Pietro in Vincoli. Columns: S. Antonio dei Portoghesi. Basins",15,,,"By the 1st century AD, fior di pesco from Chalcis was being used in Roman imperial building programs",119,,,"92% calcite, 2% dolomite, 3% quartz, 3% clay minerals",12,2nd century CE,278,,,"Local use from the Archaic period, vast exportation during the Roman Empire ",14,2700,12,,,,,,,,,,,image in folder,12,14.5,12,,,,,,,109,12,135,12
gabbro eufotide,granito verde plasmato,,metagabbro,16,Precambrian,16,"Four varieties, ranging from medium- to coarse-grained, all mottled white/light gray/green",16,,,,,,,"Near Wadi Maghrabiya, Eastern Desert of Egypt",16,"found in the Hall of Animals, Vatican Museum, and the base of a small stone lion complexion brown",187,,,"According to Gnoli, these are rare in occurence",187,,,Exported in small amounts ,14,in Rome for small incrustation plates since the 1st century,294,,,1st to 2nd century CE,16,2884,309,2260,309,3340,309,,,,,,,image in folder,150,,,,,,,,,,,,
giallo antico,"marmor numidicum, marmo libico; Rouge Chemtou, Chemtou Marbre,Pink Chemtou, Marbre Marron Chemtou, Jaune Antique de Chemtou",19; 12,calcare micritico brecciato,19,,,yellow/brown/orange.,19,,,,,0.25,12,"Tunis, Numidia; Gebel Chemtou in Africa procunsularis, at Simitthus, with only 0.4 km^2 of quarrying area, shipped along the Bagradas/Medjerda River or by land to Carthage; regional and inter-regional use, similar varieties of yellow marble used locally in Algeria, near Oran, and Djebel Ichkeul, Tunisia, during the Imperial Period",19; 26; 14,"Paving stones: Curia al Foro, Trajanic Forum, Pantheon, S. Paolo fuori le Mura, S. Pietro in Vaticano, S. Sabina. Blocks in arch of Augustus in the Forum. Columns: pantheon, arch of Constantine, Forum of Augustus, S. Giovanni in Laterano, S. Maria Maddalena in Campo Marzio. Statues in palazzo Altemps. Cornices: S. Lorenzo in Mirando, S. Clemente, S. Gregorio Magno. Balustrades: S. Pietro in Montorio. Vasche: S. Stefano Rotondo. Wall stones, mattonelle, capitals;  Like other precious marbles, largely restricted to public/imperial use",19; 26,"C. Suetonius Tranquilus, Divius Julius 85; Pliny the Elder, Natural History: 5.2.22, 36.8",96; 97; 98,one of the first quarries to reach Rome from Chemtou in Numidia,119,,,used by Marcus Lepidus in 78 BC for door sills,119,78 BCE; used in Italy since the beginning of the 1st century BCE,60; 275, used until the late 3rd century CE,275,"Occupation at Simitthus from the 100s to 200s CE, very hard to date; Pliny traces the first use at Rome to the doorsills of M. Lepidus, who was consul in 78 BCE",26; 60,2680,12,,,,,,,,,,,image in folder,181,,,,,,,99.33,12,,,,
giallo tigrato,,,Marble,14,,,,,0.2,295,0.3,295,,,"Quarried at Montecalvo, near Rieti, Lazio, Italy; local and regional use during Roman times",14,"In the excavations of Sabine Roman villa, together with numerous fragments of statues and columns of other more common marbles, were found some bases and pillars of columns of giallo tigrato",182,,, this stone is part of the wealth of marble in the Sabine Roman villas,182,,,"distinct spots of a more or less intense yellow, surrounded by black and arranged in such a way as to imitate the skin of the leopard",248,2nd century CE,268,,,little record of this stone in Rome before the 1824 excavations outside of the piers outside the second chapel on the left of S. Andrea della Valle,182,2716,309,2510,309,3140,309,,,,,,,image in folder,159,,,,,,,,,,,,
Granito bianco e nero,Black and white granite; marmor tiberianum; granito bianco e nero del Cairo,23,quarzodiorite,23,,,"blue/black/white; two varieties: yellowish-white/light gray, greenish-black crystals from lower quarry; light gray, greenish-black grains from upper quarry ",23; 16,,,,,,,"Eastern egyptian desert; Uadi Barud, Ras Barud; a.k.a. Tiberiane",23; 26,"Columns: S. Saba, S.Prassede, Palazzo Altemps, salita Borgia. Floor inlays: eagle in the crest of S. Giovanni in Laterano, triclinium of the Domus Flavia and Domus Tiberiana. ",23,Pliny the Elder was likely referring to this when he mentioned the Tiberian marble with white streaks,99,,,,,Exported in small quantities,14,1st century CE,26,2nd century CE,16,"Quarry possibly founded under Tiberius, early first century CE; lasted through the 2nd century CE",26; 16,,,,,,,,,,,,,image in folder,150,,,,,,,,,,,,
granito bigio grafico,,,granite,14,,,"gray, ""with black and white inclusions"" ",14,0.2,295,0.3,295,,,"Quarried at Hadjret-en-Nous, 14 km west of Cherchel, Algeria; used locally, exported",14,"Frigidarium, Italy, most conspicuous example of this stone is the four large columns, about one meter in diameter",183,,,"In Rome this granite is represented, as well as a vase in the Gallery of the Candelabra, by two columns in the atrium of the Palazzo Farnese",183,,,"It comes from the area of ​​Tipasa in Algeria and is often used there, very rarely in Rome. ",292,,,,,Imperial Period,14,2640,309,2330,309,2940,309,,,,,,,Image in folder,184,,,,,,,,,,,,
Granito del Foro,"Forum Granite, marmor claudianum; lapis psaronius; granito bianco e nero del Foro",23,Gneiss tonalitico; granodiorite ,23; 14,late Proterozoic (600 1 50 Ma bp),136,white/black/green; medium-grained with streaks of dark minerals; medium-grained rock with a whitishbackground (due to the presence of plagioclase and quartz crystals) and blackish spots (biotiteand hornblende),23; 16; 136,,,,,,,"Eastern Egyptian desert; Gebel Fatira; Mons Claudianus - widespread quarries north-northeast of Wadi Umm Hussein, covering over 9 km^2; mainly exported to Italy",23; 26; 14,"Columns: Temple of Venus and Rome in the Forum, Traianic Forum; baths of Caracalla, Pantheon; baths of Diocletian, S. Prassede, S. Clemente. Basins: Piazza Farnese, Piazza del Quirinale: pavement stones: S. Lorenzo fuori le Mura, S. Maria degli Angeli, Vittoriano. Rotae",23,,,"used for tubs andthe bowls of fountains, as in the WUHT labrum found in Porto, near Ostia Antica, now locatedon the road of ‘Fori Imperiali’ (in front of the ‘Basilica di Massenzio’) in Rome, and as slabs forfacing and flooringat ‘Hadrian’s Villa’ in Tivoli",138,,,used mostly for columns and decoration,291,68 CE; Used in Rome from the late 1st century CE,26; 291,200s CE; used until the end of the 3rd century,26; 291,"First known date of quarrying was 68 CE, peak during the early 100s, ending before mid-200s CE",26,,,,,,,,,,,,,Image in folder (2),137; 142,,,,,,,,,,,,
